,출발지 행정동
127143, 서대구로 
127300, 칠곡중앙대로95길 
127469, 대동로4길 
127961, 월곡로 
128687, (대구직업능력개발원) 
129979, 명덕로48길 
130026, 가창면 대일리
130691, 달서천로49길 
130793, 능성동 
130860, 율하동로12길 
131035, 가창면 행정리
131174, 수성로 
131458, 옥포읍 신당리
131496, 서변동(무태조야동)
131708, 반야월로2길 
132117, 태전로7길 
133713, 도남동
134458, 호국로 
134476, 화랑로41길 
134758, 칠성시장로5길
135240, 달서구 호산동 
136228, >>복현 
137843, 선원로57길 
138979, 대명로 
139019, 799-7 
139568, 대명복개로2길 
139694, 장기로22길 
141286, 감삼남2안길 
141891, 아양로46길 
142078, 동덕로 
142160, 대명복개로4길 
142170, 현충동길 
142795, 월배로68길 
143633, 북비산로27길 
145935, 달서로14길 
146178, 대구직업능력개발원 
146286, 신용동
148895, 팔달로 
148924, 가창면 오리
149316, 선원로33길 
149587, 용수동 
152915, 율하동(안심1동)
153305, 지산로14안길 
153928, 산격4동 
154247, 동덕로14길 
156848, 평리로57길 
156913, 동인동 
157122, 월성동(월성1동)
157333, 당산로24길 
157690, 초례로 
159108, 옥포읍 송촌리
160291, >>용산동 
161411, 와룡로51길 
162228, 죽전점 
162237, 들안로20길 
164331, 달구벌대로568길 
164415, 도남길 
165114, 성서로 
165187, 침산남로서9길 
165462, 삼덕동2가(삼덕동)
165603, 선원남로 
165840, 신암동(신암4동) 
166218, 칠곡중앙대로77길 
166242, 상리동 
168504, 장산로 
170139, 안지랑로21길 
172058, 용산로 
172352, 칠성시장로 
172423, 내곡로 
173816, 둔산동 
173908, CU편의점 
176828, 효성3길 
179841, 옥포읍 김흥리
180725, 칠성남로 
180982, 대명천로6길 
181091, 두류점 
183826, 중앙대로46길 
183950, 도학동 
184442, 감삼동(죽전동)
184554, 논공읍 노이리
184812, 용산2동 
185436, 서대구로41길 
187031, 대경7길 
187638, 3번출구 
187931, >유가 
190996, 팔거천동로 
194782, 파도고개로7길 
194795, 평리로52길 
195283, 침산남로 
195287, 한강로 
195737, 유가면 봉리
198868, 현충로39길 
200310, 율하동로24길 
201068, 동호로2길 
202403, 국채보상로209길 
203138, 국채보상로46길 
203908, 3번출구 대구2호선 
203974, 학정로
206747, 달서천로41길 
206941, 서구 
207155, (남문시장지점) 
207382, 장기로
207449, 구리로 
208781, 구지면 창리
210498, 학정로42길 
211079, 태전동(태전1동)
212128, 침산남로7길 
213864, 연경동 
214516, 감삼1길 
214558, 동천로 
215390, 대구체육관로2길 
215862, 송현로2길 
217705, 율하동로28길 
218433, 대구2호선 
218501, 칠성남로30길 
218530, 동촌로58길 
219123, 매여동 
219163, 지경길 
219188, 율하동로 
219274, 유가읍 상리
219573, 271-1 
219961, 입석로1길 
222199, 달구벌대로641길 
222616, 구지면 예현리
222903, 도원로서길 
225349, 중앙대로49길 
225362, 원대동2가(원대동)
226220, 북비산로47길 
226676, 월배로
226694, 용두길 
227159, 비산1동 
227295, 월성로 
229629, 파도고개로1길 
229853, 동일동 
230385, 대경6길 
231067, 완전동
233099, 서당로9길 
233421, 당산로41동길 
233482, 도장길 
233582, 동암로12길 
235046, 범어로20길 
236974, 조야동 
237215, 고성로 
237328, 유가읍 본말리
237398, 구암로49길 
237963, 동호동(안심3.4동)
238506, 구마로12길 
240601, 황금네거리지점 
240921, 본리서길 
241362, 이천로8길
241792, 명륜로12길 
244828, 와룡로42길 
245055, (월촌역지점) 
245091, 성동 
246031, 이곡동(이곡2동)
248173, 복현로 
248735, 범어로24길 
249145, 상원로1길 
249336, 가창면 상원리
250085, 논공읍 위천리
252100, 고산로18길 
252502, 침산로 
253316, 중앙대로77길 
253599, 죽전길 
253756, 죽전4길 
256032, 수성동4가(수성4가동)
256163, 덕산동(성내1동)
256438, 동내동 
258052, 월서로 
259897, 파도고개로16길 
259960, 가창면 옥분리
261759, 고산3동
263807, 율하동로10길 
264260, 노곡동 
264398, 평리로 
264570, 매천로18길 
265280, 반야월로30길 
269042, 112 
269157, 동호로7길 
269261, 노변공원로1길 
271680, 월곡로
271895, 논공읍 본리리
272485, 공평로4길 
273365, 연암공원로6길 
273371, 3번출구 (대구2호선) 
276701, 태암남로 
280445, 알파시티2로 
280659, 두류공원로16길 
283564, 평리3동 
284000, 국채보상로139길 
287278, 오봉로24길 
288720, 하빈면 감문리
291048, 골안길 
291477, 신당로 
291799, 유통단지로3길 
296022, 하빈면 무등리
296441, 43-10 
297823, 침산남로7길
299271, 대명11동 
299528, 칠성동1가(칠성동)
300555, 대경4길 
301687, 달서로58길 
302836, 두류남길 
303027, 청수로40길 
303402, 칠성시장로5길 
306125, 송현동길 
306466, 불로동(불로.봉무동)
306807, 상화로15길 
307273, 가창면 우록리
307516, 율하동로20길 
307772, 상화북로 
307954, 중대동(공산동)
309388, 중앙대로32길 
309411, 옥산로 
309424, 신매로6길 
309649, 호림동(신당동)
313145, 국채보상로50길 
313587, 송라로16길 
314882, 353-5대백마트>>불로 
314997, 동북로 
315465, 학정로106길 
315806, 수성구 지산동 
317417, 월성동(월성2동)
317639, 대명천로18길 
317801, 동부로28길 
317815, 송현로 
317880, 26 
319068, 용산로24길 
321138, 용학로25안길
321603, 수성동3가(수성2.3가동)
323249, 통학로38길 
324506, 두류공원로50길 
324539, 서구 평리동 
325756, 삼덕동1가(삼덕동)
326011, 달구벌대로375길 
326585, 구지면 오설리
326621, 동성로1가 
326761, 국채보상로57길 
328418, 신평동(해안동)
328580, (대구3호선) 
328685, 중앙대로42길 
329982, 동촌로25길 
330336, 구암로54길 
330469, 대명복개로 
332568, 자유1길 
334501, 팔공산로 
336486, 대구동호dt점 
337386, 안지랑로 
337686, 안심로22길 
339794, 계명7길 
340134, 남산로7길 
340623, 계산동지점 
340879, (감삼점) 
341949, 국채보상로56길 
343965, 중앙대로31길 
344176, 호국로51길 
344342, 수성2.3가동 
345210, 당산로41서길 
345243, 유가읍 금리
349636, 자유3길 
349806, 대명로19길 
349934, 현풍읍 상리
353175, 150-20 
355820, 장산2길 
359280, 명덕로18길 
360126, 수성로52길 
361608, 유천동(진천동)
362773, 현풍읍 대리
366770, 성당로60길 
366777, 봉산동(성내1동)
367246, 대명로
367444, 달성로 
368130, 선원로23남길
370411, 월배로72길 
370686, 유가읍 한정리
371175, 동부로 
372071, 와룡로15길 
372863, 유가읍 가태리
374752, 과학로 
376253, 영선길 
376267, 월배로65안길 
376686, 위남로 
378004, 효신로 
378685, 2-23 
379095, 팔공로53길 
379387, 통학로 
380441, 진천로 
383350, 서대구로
383456, 반야월북로 
386243, 이천로28길 
386447, 당산로53길 
390215, 동천로24길 
394013, 본리서5길 
394453, 백안동(공산동)
395494, 봉덕로5길 
395509, 들안로19길
397795, 당산로47길 
399659, 관음중앙로7길 
401128, 방촌로3길 
401569, (계산동지점) 
402377, 유니버시아드로42길 
405414, 교동4길 
405895, 45-1 
408814, 동대구로25길 
409989, 화원읍 비슬로
410563, 서대구로7길 
412710, 내당1동 
414745, 범안로3안길 
416130, 50 
416919, 수성구 수성동3가 
417160, 이천로 
418284, 공항로53길 
419911, 화랑로11길 
421039, 서대구로62길 
421324, 앞산순환로55길 
421542, 태평로 
421672, 상인로 
421861, 대동로 
421940, 신무동 
422086, 대현남로5길 
422208, 감삼남길 
422211, 대구동호dt점->현풍 
422234, 대명로49길 
422372, 중흥로 
422482, 무열로 
422659, 평광동(도평동)
422928, 둔산로2길 
424064, 용덕동 
424226, 청구코아 
424393, 두류공원로20길 
426104, 선원로37길 
427611, 앞산순환로61길 
428265, 당산로51길 
429974, 성서로
429985, 진밭길 
431366, 비산2.3동 
432445, 와룡로2길 
432914, 무학로 
433720, 동북로
436225, 동문동(성내1동)
440200, 동산동(성내2동)
440525, 370 
440696, 현충로40길 
443838, 옥포읍 돌미로2길
444020, 산격로
444024, 고성동2가(고성동)
444755, 두류공원로18길 
447258, 용산큰못길 
448746, 명천로10길 
449127, 송라로 
451203, 동성로3길 
452526, 가천동 
454576, 서대구로40길 
454799, 남산4동 
455099, 효동로6길 
456689, 청솔로6길 
458673, 상서동 
459650, 대명천로 
459785, 범어로 
460514, 장태실2길 
461880, 신암로 
462554, 학정동(국우동)
